Size,Quality,Year,Mean,Min,Max
90m2+,einfach,1956–1964,4.96,4.5,5.36
90m2+,mittel,1956–1964,6.13,4.85,6.94
90m2+,gut,1956–1964,6.17,5.85,6.54
<40m2,einfach,1965–1972,4.75,4.36,5.09
<40m2,mittel,1965–1972,6.8,5.75,7.36
<40m2,gut,1965–1972,4.13,2.81,5.25
40–60m2,einfach,1965–1972,5.8,4.99,6.97
40–60m2,mittel,1965–1972,5.89,4.88,7.1
40–60m2,gut,1965–1972,5.54,4.68,7.1
60–90m2,einfach,1965–1972,5.51,4.65,6.48
60–90m2,mittel,1965–1972,6.0,5.48,6.85
60–90m2,gut,1965–1972,6.89,5.83,8.04
90m2+,einfach,1965–1972,7.27,6.21,8.88
90m2+,mittel,1965–1972,5.02,4.58,5.37
90m2+,gut,1965–1972,7.23,6.04,8.95
<40m2,einfach,1973–1983 West,2.82,2.58,3.34
<40m2,mittel,1973–1983 West,4.77,3.95,5.8
<40m2,gut,1973–1983 West,4.66,3.04,5.82
40–60m2,einfach,1973–1983 West,4.1,3.91,4.34
40–60m2,mittel,1973–1983 West,4.33,3.77,4.65
40–60m2,gut,1973–1983 West,7.05,5.51,8.37
60–90m2,einfach,1973–1983 West,3.17,2.92,3.43
60–90m2,mittel,1973–1983 West,5.08,4.19,6.44
60–90m2,gut,1973–1983 West,5.07,4.48,5.82
90m2+,einfach,1973–1983 West,5.63,5.04,5.99
90m2+,mittel,1973–1983 West,5.74,4.86,6.3
90m2+,gut,1973–1983 West,5.2,4.2,6.25
<40m2,einfach,1984–1990 West,6.66,6.0,7.78
<40m2,mittel,1984–1990 West,4.58,4.32,5.0
<40m2,gut,1984–1990 West,7.15,5.5,8.65
40–60m2,einfach,1984–1990 West,3.76,2.9,6.0
40–60m2,mittel,1984–1990 West,5.82,4.81,7.34
40–60m2,gut,1984–1990 West,4.02,3.35,4.52
60–90m2,einfach,1984–1990 West,5.47,4.66,7.08
60–90m2,mittel,1984–1990 West,6.16,4.8,8.04
60–90m2,gut,1984–1990 West,6.99,5.12,8.2
90m2+,einfach,1984–1990 West,6.87,4.47,7.74
90m2+,mittel,1984–1990 West,8.11,6.16,9.28
90m2+,gut,1984–1990 West,7.36,6.32,8.37
<40m2,einfach,1973–1990 Ost,4.94,4.45,5.14
<40m2,mittel,1973–1990 Ost,8.19,6.01,10.23
<40m2,gut,1973–1990 Ost,6.08,5.09,7.53
40–60m2,einfach,1973–1990 Ost,3.65,3.44,4.5
40–60m2,mittel,1973–1990 Ost,6.43,5.33,6.94
40–60m2,gut,1973–1990 Ost,6.16,4.68,7.79
60–90m2,einfach,1973–1990 Ost,6.25,5.41,7.5
60–90m2,mittel,1973–1990 Ost,7.12,5.91,7.98
60–90m2,gut,1973–1990 Ost,6.63,5.59,8.18
90m2+,einfach,1973–1990 Ost,6.51,4.01,7.79
90m2+,mittel,1973–1990 Ost,6.1,5.02,6.7
90m2+,gut,1973–1990 Ost,5.56,4.66,6.16
<40m2,einfach,1991–2009,5.51,4.31,6.97
<40m2,mittel,1991–2009,5.16,4.53,5.59
<40m2,gut,1991–2009,6.17,5.61,6.75
40–60m2,einfach,1991–2009,5.69,4.43,7.28
40–60m2,mittel,1991–2009,6.33,5.5,7.2
40–60m2,gut,1991–2009,4.88,4.69,5.18
60–90m2,einfach,1991–2009,5.04,4.01,6.24
60–90m2,mittel,1991–2009,5.07,3.99,6.59
60–90m2,gut,1991–2009,6.0,5.0,7.56
